"","ID","CommunityName","BeachName","BeachCountrycode","BeachRegionalSea","BeachLength_m","BeachLocation","BeachType","EventType","EventYear","EventMonth","EventDay","G1","G3","G4","G5","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G40","G41","G42","G43","G44","G45","G46","G47","G49","G50","G52","G53","G54","G56","G57","G58","G59","G60","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G76","G77","G79","G80","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G95","G96","G97","G98","G99","G100","G101","G102","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G137","G138","G139","G140","G141","G142","G143","G144","G145","G147","G148","G150","G151","G152","G153","G154","G155","G156","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G171","G172","G174","G175","G176","G177","G178","G179","G180","G181","G182","G184","G186","G187","G188","G189","G190","G191","G193","G194","G195","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207","G208","G210","G211","G213","geometry"
"1",1,"Legambiente Onlus","Spiaggia della Bandita, Palermo (PA)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2014","05","18",NA,30,NA,NA,NA,300,50,NA,NA,NA,10,NA,NA,NA,1,10,15,50,NA,NA,NA,NA,3,100,NA,NA,14,NA,15,50,30,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,5,1,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,3,NA,NA,2,NA,NA,2,4,NA,NA,NA,NA,NA,30,15,NA,NA,NA,NA,NA,NA,NA,10,5,NA,NA,5,15,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,60,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,50,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,c(13.4175700001518, 38.0982700002782)
"2",2,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marina di Castagneto","IT","Mediterranean Sea",111,NA,NA,"Monitoring","2018","04","12",6,2,2,2,6,6,2,6,2,2,NA,NA,NA,1,2,1,NA,6,6,6,6,2,2,18,1,1,6,6,2,6,6,6,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,NA,NA,NA,1,4,2,2,2,2,1,2,2,NA,NA,2,2,18,18,2,2,2,2,2,2,1,2,2,4,15,NA,4,NA,1,3,NA,1,2,3,3,NA,NA,NA,NA,2,NA,NA,12,1,1,1,NA,NA,2,NA,NA,2,5,NA,2,2,NA,2,NA,NA,NA,NA,12,2,2,NA,2,2,1,2,2,2,2,3,12,12,12,12,2,NA,2,6,2,NA,NA,1,NA,1,NA,NA,NA,NA,2,2,4,4,NA,4,NA,NA,1,1,1,1,NA,NA,c(10.53989, 43.14928)
"3",3,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marina di Castagneto","IT","Mediterranean Sea",111,NA,NA,"Monitoring","2017","10","25",6,2,2,2,6,6,2,6,2,2,NA,NA,NA,1,2,1,NA,6,6,6,6,2,2,18,1,1,6,6,2,6,6,6,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,NA,NA,NA,1,4,2,2,2,2,1,2,2,NA,NA,2,2,18,18,2,2,2,2,2,2,1,2,2,4,15,NA,4,NA,1,3,NA,1,2,3,3,NA,NA,NA,NA,2,NA,NA,12,1,1,1,NA,NA,2,NA,NA,2,5,NA,2,2,NA,2,NA,NA,NA,NA,12,2,2,NA,2,2,1,2,2,2,2,3,12,12,12,12,2,NA,2,6,2,NA,NA,1,NA,1,NA,NA,NA,NA,2,2,4,4,NA,4,NA,NA,1,1,1,1,NA,NA,c(10.53989, 43.14928)
"4",4,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marina di Castagneto","IT","Mediterranean Sea",111,NA,NA,"Monitoring","2018","11","22",6,2,2,2,6,6,2,6,2,2,NA,NA,NA,1,2,1,NA,6,6,6,6,2,2,18,1,1,6,6,2,6,6,6,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,NA,NA,NA,1,4,2,2,2,2,1,2,2,NA,NA,2,2,18,18,2,2,2,2,2,2,1,2,2,4,15,NA,4,NA,1,3,NA,1,2,3,3,NA,NA,NA,NA,2,NA,NA,12,1,1,1,NA,NA,2,NA,NA,2,5,NA,2,2,NA,2,NA,NA,NA,NA,12,2,2,NA,2,2,1,2,2,2,2,3,12,12,12,12,2,NA,2,6,2,NA,NA,1,NA,1,NA,NA,NA,NA,2,2,4,4,NA,4,NA,NA,1,1,1,1,NA,NA,c(10.53989, 43.14928)
"5",5,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marina di Castagneto","IT","Mediterranean Sea",111,NA,NA,"Monitoring","2017","03","10",6,2,2,2,6,6,2,6,2,2,NA,NA,NA,1,2,1,NA,6,6,6,6,2,2,18,1,1,6,6,2,6,6,6,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,NA,NA,NA,1,4,2,2,2,2,1,2,2,NA,NA,2,2,18,18,2,2,2,2,2,2,1,2,2,4,15,NA,4,NA,1,3,NA,1,2,3,3,NA,NA,NA,NA,2,NA,NA,12,1,1,1,NA,NA,2,NA,NA,2,5,NA,2,2,NA,2,NA,NA,NA,NA,12,2,2,NA,2,2,1,2,2,2,2,3,12,12,12,12,2,NA,2,6,2,NA,NA,1,NA,1,NA,NA,NA,NA,2,2,4,4,NA,4,NA,NA,1,1,1,1,NA,NA,c(10.53989, 43.14928)
"6",6,"Legambiente Onlus","Free beach Viale Circe","IT","Mediterranean Sea",100,"Near river mouth","Sandy","Monitoring","2016","10","09",NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,22,12,8,1500,5,NA,18,23,14,7,18,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,17,7,6,NA,NA,1,3,NA,4,NA,NA,NA,NA,NA,NA,NA,360,NA,42,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,3,20,5,NA,NA,NA,18,NA,NA,NA,3,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,23,NA,4,NA,NA,NA,NA,NA,18,NA,NA,NA,7,1,NA,5,34,56,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,37,NA,NA,NA,12,NA,NA,NA,14,NA,15,NA,c(13.2375880000795, 41.2842030000879)
"7",7,"Legambiente Onlus","Spiaggia sul Lungomare Falcomat?, Reggio Calabria (RC)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2016","05","14",NA,NA,15,NA,33,28,6,5,NA,4,NA,3,1,NA,1,NA,NA,117,NA,NA,NA,NA,4,2,4,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116,NA,NA,NA,1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,12,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,103,22,NA,5,NA,5,NA,NA,NA,2,NA,NA,10,NA,NA,348,NA,21,NA,NA,1,NA,NA,NA,NA,NA,NA,1,21,NA,15,1,16,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1,54,NA,NA,22,NA,NA,NA,NA,NA,NA,1,NA,NA,c(15.6424799996051, 38.1097500001998)
"8",8,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Chioggia spiaggia di Sottomarina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","10","06",78,28,28,28,78,78,8,78,8,8,1,1,1,2,44,2,NA,78,78,78,78,44,14,4,14,3,78,78,18,78,78,78,27,27,3,3,142,142,44,142,142,44,10,10,10,10,10,10,10,NA,10,18,1,1,1,2,13,27,27,27,44,3,44,27,NA,NA,44,44,128,128,18,44,44,44,44,44,2,44,10,13,214,2,7,2,4,5,2,3,44,3,3,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,1,1,3,1,2,3,NA,NA,1,1,67,1,NA,NA,NA,NA,2,1,1,NA,1,1,NA,1,1,1,1,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,4,NA,c(12.30377, 45.19951)
"9",9,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Chioggia spiaggia di Sottomarina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","10","10",78,28,28,28,78,78,8,78,8,8,1,1,1,2,44,2,NA,78,78,78,78,44,14,4,14,3,78,78,18,78,78,78,27,27,3,3,142,142,44,142,142,44,10,10,10,10,10,10,10,NA,10,18,1,1,1,2,13,27,27,27,44,3,44,27,NA,NA,44,44,128,128,18,44,44,44,44,44,2,44,10,13,214,2,7,2,4,5,2,3,44,3,3,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,1,1,3,1,2,3,NA,NA,1,1,67,1,NA,NA,NA,NA,2,1,1,NA,1,1,NA,1,1,1,1,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,4,NA,c(12.30377, 45.19951)
"10",10,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Chioggia spiaggia di Sottomarina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","20",78,28,28,28,78,78,8,78,8,8,1,1,1,2,44,2,NA,78,78,78,78,44,14,4,14,3,78,78,18,78,78,78,27,27,3,3,142,142,44,142,142,44,10,10,10,10,10,10,10,NA,10,18,1,1,1,2,13,27,27,27,44,3,44,27,NA,NA,44,44,128,128,18,44,44,44,44,44,2,44,10,13,214,2,7,2,4,5,2,3,44,3,3,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,1,1,3,1,2,3,NA,NA,1,1,67,1,NA,NA,NA,NA,2,1,1,NA,1,1,NA,1,1,1,1,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,4,NA,c(12.30377, 45.19951)
"11",11,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Chioggia spiaggia di Sottomarina","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","02","16",78,28,28,28,78,78,8,78,8,8,1,1,1,2,44,2,NA,78,78,78,78,44,14,4,14,3,78,78,18,78,78,78,27,27,3,3,142,142,44,142,142,44,10,10,10,10,10,10,10,NA,10,18,1,1,1,2,13,27,27,27,44,3,44,27,NA,NA,44,44,128,128,18,44,44,44,44,44,2,44,10,13,214,2,7,2,4,5,2,3,44,3,3,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,1,1,3,1,2,3,NA,NA,1,1,67,1,NA,NA,NA,NA,2,1,1,NA,1,1,NA,1,1,1,1,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,4,NA,c(12.30377, 45.19951)
"12",12,"Legambiente Onlus","Spiaggia Marina di Priolo, Priolo Gargallo (SR)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","08",NA,14,1,NA,16,65,17,9,NA,NA,3,NA,1,7,NA,3,NA,5,NA,NA,NA,NA,NA,15,NA,NA,4,NA,NA,21,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,20,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,10,1,1,NA,2,NA,NA,NA,NA,NA,3,13,1,NA,NA,NA,2,NA,NA,3,NA,3,NA,2,37,49,NA,NA,11,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,21,2,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,24,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,c(15.2264800002339, 37.1516399997394)
"13",13,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Fossalon","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","11","30",6,NA,NA,NA,6,6,1,6,1,1,1,1,1,NA,7,NA,NA,6,6,6,6,7,NA,9,NA,1,6,6,1,6,6,6,8,8,NA,NA,2,2,7,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,8,8,8,7,1,7,8,NA,NA,7,7,58,58,1,7,7,7,7,7,NA,7,1,2,20,1,NA,1,NA,4,NA,1,7,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,1,NA,1,1,NA,1,1,1,1,NA,4,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,5,NA,3,3,3,3,1,NA,c(13.51231, 45.71552)
"14",14,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Fossalon","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","11","26",6,NA,NA,NA,6,6,1,6,1,1,1,1,1,NA,7,NA,NA,6,6,6,6,7,NA,9,NA,1,6,6,1,6,6,6,8,8,NA,NA,2,2,7,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,8,8,8,7,1,7,8,NA,NA,7,7,58,58,1,7,7,7,7,7,NA,7,1,2,20,1,NA,1,NA,4,NA,1,7,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,1,NA,1,1,NA,1,1,1,1,NA,4,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,5,NA,3,3,3,3,1,NA,c(13.51231, 45.71552)
"15",15,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Fossalon","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","03","23",6,NA,NA,NA,6,6,1,6,1,1,1,1,1,NA,7,NA,NA,6,6,6,6,7,NA,9,NA,1,6,6,1,6,6,6,8,8,NA,NA,2,2,7,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,8,8,8,7,1,7,8,NA,NA,7,7,58,58,1,7,7,7,7,7,NA,7,1,2,20,1,NA,1,NA,4,NA,1,7,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,1,NA,1,1,NA,1,1,1,1,NA,4,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,5,NA,3,3,3,3,1,NA,c(13.51231, 45.71552)
"16",16,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Fossalon","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","21",6,NA,NA,NA,6,6,1,6,1,1,1,1,1,NA,7,NA,NA,6,6,6,6,7,NA,9,NA,1,6,6,1,6,6,6,8,8,NA,NA,2,2,7,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,8,8,8,7,1,7,8,NA,NA,7,7,58,58,1,7,7,7,7,7,NA,7,1,2,20,1,NA,1,NA,4,NA,1,7,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,1,NA,1,1,NA,1,1,1,1,NA,4,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,5,NA,3,3,3,3,1,NA,c(13.51231, 45.71552)
"17",17,"Legambiente Onlus","Spiaggia di Trentova, Agropoli (SA)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2016","05","15",NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,31,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(14.9711199999551, 40.3419799998412)
